Match,League,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,Gametime,Time_scraped,url,std_home,std_draw,std_away,median_home,median_draw,median_away
Nasr Taadeen - Asyut Petroleum,Egypt:Division 2 - Group A 2022/2023,Pinnacle,3.19,Unibet,3.0,Betfair Exchange,2.6,12,2.88,2.82,2.44,2023-01-12 13:30:00,2023-01-12 11:03:14.315660,https://www.betexplorer.com/soccer/egypt/division-2-group-a/nasr-taadeen-asyut-petroleum/fTdXJeGA/,0.1869289283188245,0.1471213681614502,0.0627344089045722,2.89,2.835,2.45
Shoban Moslemen Qena - Tamya,Egypt:Division 2 - Group A 2022/2023,Pinnacle,2.54,Betway,3.0,Betfair Exchange,3.09,12,2.39,2.86,2.9,2023-01-12 13:30:00,2023-01-12 11:03:21.696207,https://www.betexplorer.com/soccer/egypt/division-2-group-a/shoban-moslemen-qena-tamya/hEFzJFVG/,0.0887113125238093,0.1158466855177762,0.0909878446760218,2.425,2.875,2.9
Telephonaat Beni Suef - La Viena,Egypt:Division 2 - Group A 2022/2023,Pinnacle,8.19,Betway,3.75,Betfair Exchange,1.61,12,6.66,3.54,1.48,2023-01-12 13:30:00,2023-01-12 11:03:31.309172,https://www.betexplorer.com/soccer/egypt/division-2-group-a/telephonaat-beni-suef-la-viena/06cTKy14/,0.823993876852801,0.1921233032101094,0.0532290647422377,6.5,3.56,1.5
Al-Fateh - Al-Ettifaq,Saudi Arabia:Saudi Professional League 2022/2023,Interwetten,2.0,bet-at-home,3.5,Pinnacle,3.83,15,1.94,3.33,3.49,2023-01-12 13:30:00,2023-01-12 11:03:39.288845,https://www.betexplorer.com/soccer/saudi-arabia/saudi-professional-league/al-fateh-al-ettifaq-fc/vmZ4AoST/,0.0338563140344604,0.1212005913076884,0.1197497390393816,1.95,3.35,3.5
Al Taee - Al-Taawon,Saudi Arabia:Saudi Professional League 2022/2023,Pinnacle,2.61,Pinnacle,3.26,Pinnacle,2.83,15,2.45,3.07,2.68,2023-01-12 13:30:00,2023-01-12 11:03:45.505070,https://www.betexplorer.com/soccer/saudi-arabia/saudi-professional-league/al-taee-al-taawon/ID4FUlDo/,0.0764607742571313,0.0921954445729288,0.0696539063274032,2.45,3.075,2.7
Al Sailiya - Al Ahli Doha,Qatar:QSL 2022/2023,Interwetten,2.25,Pinnacle,3.88,Pinnacle,2.96,15,2.18,3.48,2.81,2023-01-12 14:15:00,2023-01-12 11:04:04.506806,https://www.betexplorer.com/soccer/qatar/qsl/al-sailiya-al-ahli/On5bE85B/,0.0455887413001646,0.1585651811296119,0.0643816744112794,2.2,3.5,2.8
Al Wakra - Al Arabi,Qatar:QSL 2022/2023,Pinnacle,2.77,Pinnacle,3.7,Pinnacle,2.42,16,2.66,3.44,2.31,2023-01-12 14:15:00,2023-01-12 11:04:12.198684,https://www.betexplorer.com/soccer/qatar/qsl/al-wakra-al-arabi/xW6jGUza/,0.0506622805119022,0.1008298897483611,0.0490577890519606,2.65,3.425,2.3
Cruzeiro U20 - Parauapebas U20,Brazil:Copa Sao Paulo de juniores 2023,William Hill,1.14,Betway,11.0,1xBet,29.0,12,1.06,9.04,21.05,2023-01-12 14:30:00,2023-01-12 11:04:21.435150,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/cruzeiro-esporte-clube-parauapebas/0QXTexKA/,0.030401355631656,1.1335449891487512,4.826699418104185,1.0550000000000002,9.0,21.0
Maccabi Yavne - Bnei Eilat,Israel:Liga Alef South 2022/2023,Betway,1.35,1xBet,4.9,Betfair,9.5,8,1.31,4.57,7.62,2023-01-12 14:30:00,2023-01-12 11:04:27.437452,https://www.betexplorer.com/soccer/israel/liga-alef-south/maccabi-yavne-bnei-eilat/hhMmm0A2/,0.0324465372232196,0.176776695296637,1.0323759005323594,1.32,4.6,7.5
Doxa - Achnas,Cyprus:Cyprus Cup 2022/2023,Interwetten,2.1,Unibet,3.5,Betfair,4.0,14,2.0,3.2,3.42,2023-01-12 15:00:00,2023-01-12 11:04:42.978347,https://www.betexplorer.com/soccer/cyprus/cyprus-cup/doxa-achnas/CzhGBYmP/,0.0711020007137246,0.1208577403669016,0.192422383381907,2.015,3.185,3.4
