Time_scraped,Gametime,Country,League,Unnamed: 4,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-26 10:16:14.125647,2023-01-26 16:00:00,Gambia,GFA League,,Marimoo - Brikama U.,10x10bet,2.85,10x10bet,2.69,10x10bet,3.1,17,2.69,2.58,2.92,0.0667951472451535,0.0729980802705344,0.0713003297623612,2.69,2.56,2.9,/soccer/gambia/gfa-league/marimoo-brikama-united-h8lrwWFM/
2023-01-26 10:16:18.979056,2023-01-26 16:00:00,Israel,Liga Alef South,,Maccabi Shaarayim FC - Beitar Tel Aviv,1xBet,2.26,GGBET,3.1,GGBET,3.3,6,2.22,2.96,3.12,0.0256580071972343,0.0623609564462323,0.075424723326565,2.22,2.975,3.14,/soccer/israel/liga-alef-south/maccabi-shaarayim-beitar-tel-aviv-UydCu98g/
2023-01-26 10:16:26.054111,2023-01-26 17:15:00,Morocco,Botola Pro,,Chabab Mohammedia - Berkane,10x10bet,3.82,Marsbet,2.85,Curebet,2.73,28,3.06,2.69,2.51,0.1712439482023185,0.0989356624586021,0.1145488043212523,3.1,2.7,2.525,/soccer/morocco/botola-pro/chabab-mohammedia-berkane-ph4q0S2H/
2023-01-26 10:16:30.563101,2023-01-26 17:30:00,Greece,Greek Cup,,Panathinaikos - PAOK,10x10bet,2.45,1xBet,3.26,GGBET,3.1,28,2.34,3.11,2.96,0.0628114687954747,0.0963518213080985,0.086992698497269,2.34,3.1,2.975,/soccer/greece/greek-cup/panathinaikos-paok-GbVeSzhL/
2023-01-26 10:16:35.180416,2023-01-26 17:30:00,Liberia,LFA First Division,,LPRC Oiler - Mighty Barrolle,10x10bet,3.1,1xBet,3.24,10x10bet,2.77,7,2.87,2.83,2.54,0.1386524063834391,0.2573332628388047,0.1567006765805953,2.94,2.76,2.63,/soccer/liberia/lfa-first-division/lprc-oiler-mighty-barrolle-0bRwmBWm/
2023-01-26 10:16:39.535545,2023-01-26 17:30:00,World,Club Friendly,,Pachern (Aut) - Heiligenkreuz (Aut) ,10x10bet,9.4,10x10bet,7.6,BC.Game,1.25,12,8.13,6.85,1.22,0.7531761451052176,0.3897114317029972,0.014790199457749,8.2,6.7,1.22,/soccer/world/club-friendly/pachern-heiligenkreuz-GzqsWRsg/
2023-01-26 10:16:44.261917,2023-01-26 17:45:00,Netherlands,Eredivisie,,Groningen - Cambuur,10x10bet,2.32,bet365,3.5,BetInAsia,3.3,30,2.24,3.33,3.2,0.034494766108627,0.0859353762363841,0.062222718251991,2.245,3.35,3.2,/soccer/netherlands/eredivisie/groningen-cambuur-QqDcoS0p/
2023-01-26 10:16:49.311623,2023-01-26 18:00:00,Albania,Superliga,,Erzeni - KF Tirana,William Hill,4.2,10x10bet,3.35,10x10bet,2.02,18,3.89,3.14,1.93,0.1652541999989227,0.1082250170754786,0.0416629627983392,3.96,3.1,1.91,/soccer/albania/superliga/erzeni-shijak-kf-tirana-2X0I9jDU/
2023-01-26 10:16:54.457120,2023-01-26 18:00:00,Germany,Regionalliga Nordost,,TB Berlin - Chemnitzer,10x10bet,7.6,10x10bet,5.0,Pinnacle,1.43,23,6.53,4.69,1.38,0.484851428143097,0.1865526476873706,0.0232191824744672,6.5,4.65,1.38,/soccer/germany/regionalliga-nordost/tb-berlin-chemnitzer-tO593dGS/
2023-01-26 10:16:59.653639,2023-01-26 18:00:00,Saudi Arabia,Super Cup,,Al-Ittihad FC - Al-Nassr,10x10bet,4.75,Marsbet,3.6,Marsbet,1.85,27,4.22,3.35,1.78,0.2988528593640499,0.1062388540107098,0.0325841739969226,4.2,3.3,1.78,/soccer/saudi-arabia/super-cup/al-ittihad-fc-al-nassr-bTeH7WmJ/
