Time_scraped,Gametime,Country,League,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-17 15:52:35.872066,2023-01-17 20:30:00,Morocco,Botola Pro,Union Touarga - Berkane,10x10bet,3.96,Betsafe,2.8,10x10bet,2.58,27,3.42,2.62,2.4,0.2301046460811865,0.1449913672279999,0.0803148809981025,3.3,2.68,2.4,/soccer/morocco/botola-pro/union-touarga-berkane-QHAw07hK/
2023-01-17 15:52:39.566515,2023-01-17 20:30:00,Wales,Cymru North,Mold Alexandra - Druids,Marsbet,2.55,10x10bet,4.33,Betway,2.7,20,2.43,3.95,2.33,0.103053384223906,0.2239927454182388,0.1157356902601786,2.39,3.95,2.325,/soccer/wales/cymru-north/mold-alexandra-cefn-druids-vgzvm8Q4/
2023-01-17 15:52:43.251325,2023-01-17 20:45:00,Belgium,Jupiler Pro League,St. Liege - KV Mechelen,BetInAsia,2.18,1xBet,3.78,1xBet,3.54,30,2.07,3.61,3.34,0.0455692391373342,0.0904095619328447,0.1214340241539504,2.06,3.6,3.35,/soccer/belgium/jupiler-pro-league/st-liege-kv-mechelen-OYHne89d/
2023-01-17 15:52:46.951235,2023-01-17 20:45:00,Belgium,Jupiler Pro League,Westerlo - Genk,William Hill,3.7,GGBET,3.91,Dafabet,2.06,30,3.41,3.7,2.01,0.103965806344629,0.1246189748348496,0.0314041752355036,3.45,3.65,2.0,/soccer/belgium/jupiler-pro-league/westerlo-genk-8MijFT0S/
2023-01-17 15:52:50.751087,2023-01-17 20:45:00,England,FA Cup,Forest Green - Birmingham,BC.Game,4.1,Betfred,3.5,Betway,2.05,30,3.8,3.34,2.01,0.1446025203407218,0.0930979173892854,0.0256818137123442,3.8,3.38,2.0,/soccer/england/fa-cup/forest-green-birmingham-25MKJUvf/
2023-01-17 15:52:54.574410,2023-01-17 20:45:00,England,FA Cup,Accrington - Boreham Wood,Betsafe,2.45,bet365,3.3,Unibet,3.3,30,2.4,3.1,3.28,0.0562375912239017,0.0735972523641715,0.101289464188313,2.355,3.11,3.2,/soccer/england/fa-cup/accrington-boreham-wood-4CiCJgUF/
2023-01-17 15:52:58.149666,2023-01-17 20:45:00,England,FA Cup,Wigan - Luton,BetInAsia,3.01,Unibet,3.1,Unibet,2.75,30,2.93,2.98,2.62,0.0633061345105407,0.0556467030070565,0.0611273715740792,2.95,3.0,2.61,/soccer/england/fa-cup/wigan-luton-GxMY13Fs/
2023-01-17 15:53:01.782510,2023-01-17 20:45:00,England,FA Cup,Wolves - Liverpool,GGBET,3.45,GGBET,3.71,Lasbet,2.29,30,3.21,3.47,2.19,0.1101922562312494,0.0879292645002536,0.0601858233584399,3.25,3.45,2.2,/soccer/england/fa-cup/wolves-liverpool-6mvFFWxB/
2023-01-17 15:53:05.400489,2023-01-17 20:45:00,England,FA Cup,Swansea - Bristol City,GGBET,1.86,Betfred,3.75,BetInAsia,4.92,30,1.8,3.59,4.5,0.0224993827075816,0.1012499657064414,0.2091793488851133,1.8,3.6,4.5,/soccer/england/fa-cup/swansea-bristol-city-YZBsc8E1/
2023-01-17 15:53:09.086622,2023-01-17 20:45:00,England,FA Trophy,Banbury - Coalville,Pinnacle,2.31,10x10bet,3.79,Betfred,3.4,27,2.03,3.52,3.21,0.0818023983335076,0.1376233702679009,0.1538513347233592,2.03,3.5,3.1,/soccer/england/fa-trophy/banbury-coalville-town-zoLHondd/
2023-01-17 15:53:12.833147,2023-01-17 20:45:00,England,FA Trophy,Torquay - Taunton,Betfred,1.9,1xBet,3.7,10x10bet,4.33,27,1.81,3.51,3.97,0.0335915921285132,0.0997170207385164,0.2182182494421004,1.8,3.48,4.0,/soccer/england/fa-trophy/torquay-taunton-town-xja0AVYd/
2023-01-17 15:53:16.785784,2023-01-17 20:45:00,England,Isthmian League Premier Division,Bishop'S Stortford - Herne Bay,William Hill,1.33,10x10bet,5.8,10x10bet,11.0,26,1.27,5.12,8.8,0.0232047740446128,0.3579717684151203,0.9850807944517208,1.26,5.1,8.75,/soccer/england/isthmian-league-premier-division/stortford-herne-bay-xEJyrTwe/
2023-01-17 15:53:20.629729,2023-01-17 20:45:00,England,Isthmian League Premier Division,Hastings - Bowers & Pitsea,10x10bet,1.49,10x10bet,4.5,10x10bet,6.6,27,1.44,4.28,5.94,0.0255850607987711,0.1680224689396841,0.4091394160043675,1.44,4.2,5.75,/soccer/england/isthmian-league-premier-division/hastings-bowers-pitsea-nq1S4jo8/
2023-01-17 15:53:24.266709,2023-01-17 20:45:00,England,Isthmian League Premier Division,Hornchurch - Kingstonian,10x10bet,1.46,Marsbet,5.1,William Hill,8.0,27,1.42,4.42,6.28,0.0368327700457831,0.2106134485054504,0.5583436213043929,1.4,4.46,6.3,/soccer/england/isthmian-league-premier-division/hornchurch-kingstonian-pUJV3A0E/
2023-01-17 15:53:28.015558,2023-01-17 20:45:00,England,Isthmian League Premier Division,Lewes - Canvey,William Hill,2.25,1xBet,3.6,10x10bet,3.38,26,2.05,3.42,3.16,0.0586434417001413,0.1189854796968866,0.1355134876144946,2.05,3.4,3.15,/soccer/england/isthmian-league-premier-division/lewes-canvey-island-Sh9z3UFK/
2023-01-17 15:53:32.050055,2023-01-17 20:45:00,England,Isthmian League Premier Division,Wingate & Finchley - Carshalton,Dafabet,3.2,10x10bet,3.58,Betway,2.38,26,2.75,3.36,2.28,0.1261403604424229,0.0847315635983574,0.0675709138784348,2.75,3.35,2.25,/soccer/england/isthmian-league-premier-division/wingate-finchley-carshalton-by06c8wr/
2023-01-17 15:53:35.765583,2023-01-17 20:45:00,England,Isthmian League Premier Division,Corinthian-Casuals - Horsham FC,10x10bet,4.2,188BET,3.8,10x10bet,1.84,27,3.91,3.63,1.77,0.1889636743747224,0.117913967381747,0.0330772052766905,3.94,3.65,1.77,/soccer/england/isthmian-league-premier-division/corinthian-casuals-horsham-rPJVa1at/
2023-01-17 15:53:39.402221,2023-01-17 20:45:00,England,Isthmian League Premier Division,Folkestone - Enfield Town,10x10bet,2.4,10x10bet,4.0,Curebet,2.65,25,2.33,3.66,2.51,0.0452123876830233,0.1420287294880863,0.0777215542819364,2.35,3.6,2.5,/soccer/england/isthmian-league-premier-division/folkestone-enfield-town-nHxIBbbh/
2023-01-17 15:53:43.105660,2023-01-17 20:45:00,England,National League,Solihull Moors - Aldershot,188BET,2.01,Pinnacle,3.88,bet365,3.8,30,1.93,3.63,3.45,0.0390213616710983,0.1442775103749715,0.1579817148350473,1.93,3.625,3.45,/soccer/england/national-league/solihull-moors-aldershot-6wwLupBc/
2023-01-17 15:53:46.789860,2023-01-17 20:45:00,England,National League,Altrincham - Maidenhead,BetInAsia,1.85,10x10bet,3.75,Pinnacle,4.35,30,1.81,3.57,4.0,0.0292669703856678,0.1136705766678431,0.1975977957591857,1.805,3.6,4.0,/soccer/england/national-league/altrincham-maidenhead-Yig1LFPr/
2023-01-17 15:53:50.411083,2023-01-17 20:45:00,England,National League,Barnet - Yeovil,bet365,2.0,1xBet,3.52,Pinnacle,4.14,30,1.91,3.39,3.8,0.0377138347736388,0.0870606429769247,0.206069297945025,1.905,3.4,3.75,/soccer/england/national-league/barnet-yeovil-jTm6KZvk/
